Name,Nepali,Headquarters,Population (2011),Area(km2),Province
Dolpa District,डोल्पा जिल्ला,Dunai,"36,700","7,889",Karnali
Humla District,हुम्ला जिल्ला,Simikot,"50,858","5,655",Karnali
Jumla District,जुम्ला जिल्ला,Chandannath,"108,921","2,531",Karnali
Kalikot District,कालिकोट जिल्ला,Manma,"136,948","1,741",Karnali
Mugu District,मुगु जिल्ला,Gamgadhi,"55,286","3,535",Karnali
Surkhet District,सुर्खेत जिल्ला,Birendranagar,"350,804","2,451",Karnali
Dailekh District,दैलेख जिल्ला,Narayan,"261,770","1,502",Karnali
Jajarkot District,जाजरकोट जिल्ला,Khalanga,"171,304","2,230",Karnali
Kailali District,कैलाली जिल्ला,Dhangadhi,"775,709","3,235",SudurPaschim
Achham District,अछाम जिल्ला,Mangalsen,"257,477","1,680",SudurPaschim
Doti District,डोटी जिल्ला,Dipayal Silgadhi,"211,746","2,025",SudurPaschim
Bajhang District,बझाङ जिल्ला,Jayaprithvi,"195,159","3,422",SudurPaschim
Bajura District,बाजुरा जिल्ला,Martadi,"134,912","2,188",SudurPaschim
Kanchanpur District,कंचनपुर जिल्ला,Bhimdatta,"451,248","1,610",SudurPaschim
Dadeldhura District,डडेलधुरा जिल्ला,Amargadhi,"142,094","1,538",SudurPaschim
Baitadi District,बैतडी जिल्ला,Dasharathchand,"250,898","1,519",SudurPaschim
Darchula District,दार्चुला जिल्ला,Darchula,"133,274","2,322",SudurPaschim
