"Name","Nepali","District","Province","Population (2011)","Area"
"Ramgopalpur","रामगोपालपुर","Mahottari","Province No. 2","29,612","39.58"
"Halesi Tuwachung","हलेसी तुवाचुङ","Khotang","Province No. 1","29,532","280.17"
"Namobuddha","नमोबुद्ध","Kavrepalanchok","Province No. 3","29,519","102"
"Aathabis","आठबीस","Dailekh","Karnali","29,227","168"
"Ramechhap","रामेछाप","Ramechhap","Province No. 3","28,612","202.45"
"Siddhicharan","सिद्दिचरण","Okhaldhunga","Province No. 1","28,374","167.88"
"Panchadewal Binayak","पञ्चदेवल विनायक","Achham","Sudurpashchim","27,485","147.75"
"Chaurjahari","चौरजहारी","Rukum West","Karnali","27,438","107.38"
"Chainpur","चैनपुर","Sankhuwasabha","Province No. 1","27,308","223.69"
"Bhojpur","भोजपुर","Bhojpur","Province No. 1","27,204","159.51"
"Narayan","नारायण","Dailekh","Karnali","27,037","110.63"
"Sundarbazar","सुन्दरबजार","Lamjung","Gandaki","26,861","72.05"
"Barhabise","बाह्रविसे","Sindhupalchowk","Province No. 3","26,700","96.73"
"Maulapur","मौलापुर","Rautahat","Province No. 2","26,431","34.75"
"Taplejung(Phungling)","फुङलिङ","Taplejung","Province No. 1","26,406","125.57"
"Dhorpatan","ढोरपाटन","Baglung","Gandaki","26,215","222.85"
"Chamunda Bindrasaini","चामुण्डा विन्द्रासैनी","Dailekh","Karnali","26,149","90.6"
"Chapakot","चापाकोट","Syangja","Gandaki","26,042","120.59"
"Nalgad","नलगाड","Jajarkot","Karnali","25,597","387.44"
"Bhirkot","भिरकोट","Syangja","Gandaki","25,583","78.23"
"Shankharapur","शङ्खरापुर","Kathmandu","Province No. 3","25,338","60.21"
"Mahalaxmi","महालक्ष्मी","Dhankuta","Province No. 1","24,800","129.39"
"Phalewas","फलेवास","Parbat","Gandaki","24,687","85.7"
"Dakshinkali","दक्षिणकाली","Kathmandu","Province No. 3","24,296","42.68"
"Kamalbazar","कमलबजार","Achham","Sudurpashchim","23,738","120.78"
"Madhya Nepal","मध्यनेपाल","Lamjung","Gandaki","23,385","113.86"
"Melauli","मेलौली","Baitadi","Sudurpashchim","22,545","119.43"
"Jaya Prithvi","जयपृथ्वी","Bajhang","Sudurpashchim","22,191","166.79"
"Pakhribas","पाख्रिवास","Dhankuta","Province No. 1","22,078","144.29"
"Shailyashikhar","शैल्यशिखर","Darchula","Sudurpashchim","22,060","117.81"
"Budhiganga","बुढीगंगा","Bajura","Sudurpashchim","21,677","59.2"
"Amargadhi","अमरगढी","Dadeldhura","Sudurpashchim","21,245","139.33"
"Mahakali","महाकाली","Darchula","Sudurpashchim","21,231","135.11"
"Saptakoshi","सप्तकोशी","Saptari","Province No. 2","21,131","60.25"
"Solu Dudhkunda","सोलुदुधकुण्ड","Solukhumbu","Province No. 1","20,399","528.09"
"Khandachakra","खाँडाचक्र","Kalikot","Karnali","20,288","133.29"
"Chhayanath Rara","छायाँनाथ रारा","Mugu","Karnali","20,078","480.67"
"Myanglung","म्याङलुङ","Terathum","Province No. 1","19,659","100.21"
"Chandannath","चन्दननाथ","Jumla","Karnali","19,047","102.03"
"Budhinanda","बुढीनन्दा","Bajura","Sudurpashchim","18,776","232.48"
