"Name","Nepali","District","Districts","Population (2011)","Area (km2)","Area (KM2)","Density","Province"
"Mathagadhi","माथागढी","Palpa","","25,017","215.49","","116","Province No. 5"
"Nisdi","निस्दी","Palpa","","22,611","194.5","","116","Province No. 5"
"Bagnaskali","वगनासकाली","Palpa","","21,361","84.17","","254","Province No. 5"
"Rambha","रम्भा","Palpa","","20,190","94.12","","215","Province No. 5"
"Purbakhola","पूर्वखोला","Palpa","","19,589","138.05","","142","Province No. 5"
"Tinau","तिनाउ","Palpa","","19,085","202","","94","Province No. 5"
"Ribdikot","रिब्दीकोट","Palpa","","18,770","124.55","","151","Province No. 5"
"Naubahini","नौबहिनी","Pyuthan","","30,292","213.41","","142","Province No. 5"
"Jhimaruk","झिमरुक","Pyuthan","","27,931","106.93","","261","Province No. 5"
"Gaumukhi","गौमुखी","Pyuthan","","25,421","139.04","","183","Province No. 5"
"Airawati","ऐरावती","Pyuthan","","22,392","156.75","","143","Province No. 5"
"Sarumarani","सरुमारानी","Pyuthan","","18,627","157.97","","118","Province No. 5"
"Mallarani","मल्लरानी","Pyuthan","","17,686","80.09","","221","Province No. 5"
"Mandavi","माण्डवी","Pyuthan","","15,058","113.08","","133","Province No. 5"
"Sunil Smriti","सुनिल स्मृति","Rolpa","","28,213","156.55","","180","Province No. 5"
"Runtigadhi","रुन्टीगढी","Rolpa","","27,929","232.69","","120","Province No. 5"
"Lungri","लुङ्ग्री","Rolpa","","23,631","135.23","","175","Province No. 5"
"Triveni","त्रिवेणी","Rolpa","","22,957","205.39","","112","Province No. 5"
"Paribartan","परिवर्तन","Rolpa","","20,778","163.01","","127","Province No. 5"
"Gangadev","गंगादेव","Rolpa","","20,009","124.38","","161","Province No. 5"
"Madi","माडी","Rolpa","","17,986","129.05","","139","Province No. 5"
"Sunchhahari","सुनछहरी","Rolpa","","16,034","277.62","","58","Province No. 5"
"Thawang","थवाङ","Rolpa","","10,881","191.07","","57","Province No. 5"
"Bhume","भूमे","Eastern Rukum","","18,589","273.67","","68","Province No. 5"
"Putha Uttarganga","पुठा उत्तरगंगा","Eastern Rukum","","17,932","560.34","","32","Province No. 5"
"Sisne","सिस्ने","Eastern Rukum","","16,497","327.12","","50","Province No. 5"
"Gaidhawa","गैडहवा","Rupandehi","","47,565","96.79","","491","Province No. 5"
"Mayadevi","मायादेवी","Rupandehi","","47,196","72.44","","652","Province No. 5"
"Kotahimai","कोटहीमाई","Rupandehi","","41,006","58.26","","704","Province No. 5"
"Marchawarimai","मर्चवारीमाई","Rupandehi","","38,776","48.55","","799","Province No. 5"
"Siyari","सियारी","Rupandehi","","38,466","66.17","","581","Province No. 5"
"Sammarimai","सम्मरीमाई","Rupandehi","","38,305","50.78","","754","Province No. 5"
"Rohini","रोहिणी","Rupandehi","","37,175","64.32","","578","Province No. 5"
"Shuddhodhan","शुद्धोधन","Rupandehi","","34,638","57.66","","601","Province No. 5"
"Om Satiya","ओमसतीया","Rupandehi","","34,191","48.54","","704","Province No. 5"
"Kanchan","कञ्चन","Rupandehi","","33,072","58.51","","565","Province No. 5"
"Gurans","गुराँस","Dailekh","","22,033","164.79","","134","Karnali"
"Bhairabi","भैरवी","Dailekh","","21,233","110.46","","192","Karnali"
"Naumule","नौमुले","Dailekh","","20,802","228.59","","91","Karnali"
"Mahabu","महावु","Dailekh","","19,277","110.8","","174","Karnali"
"Thantikandh","ठाँटीकाँध","Dailekh","","18,896","88.22","","214","Karnali"
"Bhagawatimai","भगवतीमाई","Dailekh","","18,778","151.52","","124","Karnali"
"Dungeshwar","डुंगेश्वर","Dailekh","","15,883","105.19","","151","Karnali"
"Mudkechula","मुड्केचुला","Dolpa","","5,129","250.08","","21","Karnali"
"Kaike","काईके","Dolpa","","3,576","466.6","","8","Karnali"
"She Phoksundo","शे फोक्सुन्डो","Dolpa","","3,099","123.07","","25","Karnali"
"Jagadulla","जगदुल्ला","Dolpa","","2,273","83.3","","27","Karnali"
"Dolpo Buddha","डोल्पो बुद्ध","Dolpa","","2,126","377.38","","6","Karnali"
"Chharka Tangsong","छार्का ताङसोङ","Dolpa","","1,451","345.57","","4","Karnali"
"Simkot","सिमकोट","Humla","","11,557","785.89","","15","Karnali"
"Sarkegad","सर्केगाड","Humla","","9,868","306.7","","32","Karnali"
"Adanchuli","अदानचुली","Humla","","7,116","150.61","","47","Karnali"
"Kharpunath","खार्पुनाथ","Humla","","6,011","880","","7","Karnali"
"Tanjakot","ताँजाकोट","Humla","","5,964","159.1","","37","Karnali"
"Chankheli","चंखेली","Humla","","5,517","1,310.41","","4","Karnali"
"Namkha","नाम्खा","Humla","","3,900","2,419.64","","2","Karnali"
"Junichande","जुनीचाँदे","Jajarkot","","21,733","346.21","","63","Karnali"
"Kuse","कुसे","Jajarkot","","20,621","273.97","","75","Karnali"
"Barekot","बारेकोट","Jajarkot","","18,083","577.5","","31","Karnali"
"Shivalaya","शिवालय","Jajarkot","","15,269","134.26","","114","Karnali"
"Tatopani","तातोपानी","Jumla","","14,638","525.56","","28","Karnali"
"Patarasi","पातारासी","Jumla","","14,571","814.07","","18","Karnali"
"Tila","तिला","Jumla","","13,607","175.49","","78","Karnali"
"Kanaka Sundari","कनकासुन्दरी","Jumla","","12,977","225.39","","58","Karnali"
"Sinja","सिंजा","Jumla","","12,395","153.29","","81","Karnali"
"Hima","हिमा","Jumla","","10,961","132.32","","83","Karnali"
"Guthichaur","गुठिचौर","Jumla","","9,870","427","","23","Karnali"
"Narharinath","नरहरिनाथ","Kalikot","","21,366","143.86","","149","Karnali"
"Palata","पलाता","Kalikot","","15,303","318.84","","48","Karnali"
"Shubha Kalika","शुभ कालिका","Kalikot","","14,080","97.32","","145","Karnali"
"Sanni Triveni","सान्नी त्रिवेणी","Kalikot","","12,846","136.71","","94","Karnali"
"Pachaljharana","पचालझरना","Kalikot","","12,343","166.92","","74","Karnali"
"Mahawai","महावै","Kalikot","","8,323","322.07","","26","Karnali"
"Khatyad","खत्याड","Mugu","","17,116","281.12","","61","Karnali"
"Soru","सोरु","Mugu","","12,238","365.8","","33","Karnali"
"Mugum Karmarong","मुगुम कार्मारोंग","Mugu","","5,396","2,106.91","","3","Karnali"
"Sani Bheri","सानीभेरी","Western Rukum","","22,194","133.8","","166","Karnali"
"Triveni","त्रिवेणी","Western Rukum","","19,404","85.49","","227","Karnali"
"Banphikot","बाँफिकोट","Western Rukum","","18,696","190.42","","98","Karnali"
"Kumakh","कुमाख","Salyan","","24,972","177.28","","141","Karnali"
"Kalimati","कालीमाटी","Salyan","","23,005","500.72","","46","Karnali"
"Chhatreshwari","छत्रेश्वरी","Salyan","","21,452","150.69","","142","Karnali"
"Darma","दार्मा","Salyan","","19,966","81.46","","245","Karnali"
"Kapurkot","कपुरकोट","Salyan","","18,204","119.21","","153","Karnali"
"Triveni","त्रिवेणी","Salyan","","16,634","119.11","","140","Karnali"
"Siddha Kumakh","सिद्ध कुमाख","Salyan","","13,593","89.36","","152","Karnali"
"Barahatal","बराहताल","Surkhet","","26,802","455.09","","59","Karnali"
"Simta","सिम्ता","Surkhet","","25,845","241.64","","10","Karnali"
"Chaukune","चौकुने","Surkhet","","25,240","381.01","","66","Karnali"
"Chingad","चिङ्गाड","Surkhet","","17,275","170.19","","102","Karnali"
"Ramaroshan","रामारोशन","Achham","","25,166","173.33","","145","SudurPashchim"
"Chaurpati","चौरपाटी","Achham","","25,149","182.16","","138","SudurPashchim"
"Turmakhand","तुर्माखाँद","Achham","","24,940","232.07","","107","SudurPashchim"
"Mellekh","मेल्लेख","Achham","","24,670","134.78","","183","SudurPashchim"
"Dhankari","ढँकारी","Achham","","21,562","227.88","","95","SudurPashchim"
"Bannigadi Jayagad","बान्नीगडीजैगड","Achham","","17,359","58.26","","298","SudurPashchim"
"Dogdakedar","दोगडाकेदार","Baitadi","","24,632","126.38","","195","SudurPashchim"
"Dilashaini","डिलाशैनी","Baitadi","","22,924","125.28","","183","SudurPashchim"
"Sigas","सिगास","Baitadi","","21,510","245.44","","88","SudurPashchim"
"Pancheshwar","पञ्चेश्वर","Baitadi","","18,766","120.41","","156","SudurPashchim"
"Surnaya","सुर्नया","Baitadi","","18,549","124.52","","149","SudurPashchim"
"Shivanath","शिवनाथ","Baitadi","","17,115","81.65","","210","SudurPashchim"
"Kedarsyu","केदारस्यु","Bajhang","","21,307","113.91","","187","SudurPashchim"
"Thalara","थलारा","Bajhang","","17,952","105.51","","170","SudurPashchim"
"Bitthadchir","बित्थडचिर","Bajhang","","17,154","86.15","","199","SudurPashchim"
"Chhabis Pathibhera","छब्बीसपाथिभेरा","Bajhang","","16,296","116.34","","140","SudurPashchim"
"Chhanna","छान्ना","Bajhang","","15,893","113.52","","140","SudurPashchim"
"Masta","मष्टा","Bajhang","","14,951","109.24","","137","SudurPashchim"
"Durgathali","दुर्गाथली","Bajhang","","12,972","61.83","","210","SudurPashchim"
"Talkot","तलकोट","Bajhang","","11,557","335.26","","34","SudurPashchim"
"Surma","सुर्मा","Bajhang","","9,022","270.8","","33","SudurPashchim"
"Saipal","सइपाल","Bajhang","","2,182","1,467.27","","2","SudurPashchim"
"Khaptad Chhededaha","खप्तड छेडेदह","Bajura","","18,575","135.08","","138","SudurPashchim"
"Swami Kartik Khapar","स्वामिकार्तिक खापर","Bajura","","12,784","110.55","","116","SudurPashchim"
"Jagannath","जगन्नाथ","Bajura","","9,432","171.72","","55","SudurPashchim"
"Himali","हिमाली","Bajura","","9214","830.33","","11","SudurPashchim"
"Gaumul","गौमुल","Bajura","","8,515","314.66","","27","SudurPashchim"
"Navadurga","नवदुर्गा","Dadeldhura","","19,957","141.89","","141","SudurPashchim"
"Aalitaal","आलिताल","Dadeldhura","","18,531","292.87","","63","SudurPashchim"
"Ganyapadhura","गन्यापधुरा","Dadeldhura","","15,093","135.65","","111","SudurPashchim"
"Bhageshwar","भागेश्वर","Dadeldhura","","14,129","233.38","","61","SudurPashchim"
"Ajaymeru","अजयमेरु","Dadeldhura","","7,066","148.9","","47","SudurPashchim"
"Naugad","नौगाड","Darchula","","15,874","180.27","","88","SudurPashchim"
"Malikarjun","मालिकार्जुन","Darchula","","15,581","100.82","","155","SudurPashchim"
"Marma","मार्मा","Darchula","","14,956","208.06","","72","SudurPashchim"
"Lekam","लेकम","Darchula","","14,838","83.98","","177","SudurPashchim"
"Duhu","दुहु","Darchula","","10,818","65.35","","166","SudurPashchim"
"Vyans","ब्याँस","Darchula","","10,347","839.26","","12","SudurPashchim"
"Api Himal","अपि हिमाल","Darchula","","6,779","613.95","","11","SudurPashchim"
"Aadarsha","आदर्श","Doti","","23,945","128.47","","186","SudurPashchim"
"Purbichauki","पूर्वीचौकी","Doti","","22,483","117.66","","191","SudurPashchim"
"K.I. Singh","केआईसिंह","Doti","","20,903","127.01","","165","SudurPashchim"
"Jorayal","जोरायल","Doti","","20,824","419.09","","50","SudurPashchim"
"Sayal","सायल","Doti","","19,551","122.72","","159","SudurPashchim"
"Bogatan-Fudsil","वोगटान–फुड्सिल","Doti","","17,902","300.22","","60","SudurPashchim"
"Badikedar","बड्डी केदार","Doti","","16,720","332.55","","50","SudurPashchim"
"Janaki Rural Municipality","जानकी","Kailali","","48,540","107.27","","453","SudurPashchim"
"Kailari Rural Municipality","कैलारी","Kailali","","47,987","233.27","","206","SudurPashchim"
"Joshipur","जोशीपुर","Kailali","","36,459","65.57","","556","SudurPashchim"
"Bardagoriya Rural Municipality","बर्गगोरिया","Kailali","","32,683","77.26","","423","SudurPashchim"
"Mohanyal Rural Municipality","मोहन्याल","Kailali","","22,053","626.95","","35","SudurPashchim"
"Chure Rural Municipality","चुरे","Kailali","","18,924","493.18","","38","SudurPashchim"
"Laljhadi","लालझाँडी","Kanchanpur","","22,569","154.65","","146","SudurPashchim"
"Beldandi","बेलडाँडी","Kanchanpur","","21,949","36.7","","598","SudurPashchim"
