"Name","Nepali","District","Districts","Population (2011)","Area (km2)","Area (KM2)","Density","Province"
"Barahpokhari","बराहपोखरी","","Khotang","14,349","","141.57","101","Province No. 1"
"Lamidanda","लामीडाँडा","","Khotang","13,369","","97.44","137","Province No. 1"
"Sakela","साकेला","","Khotang","11,594","","79.99","145","Province No. 1"
"Jahada","जहदा","","Morang","41,819","","62.38","670","Province No. 1"
"Budi Ganga","बुढीगंगा","","Morang","41,586","","56.41","737","Province No. 1"
"Katahari","कटहरी","","Morang","39,775","","51.59","771","Province No. 1"
"Dhanpalthan","धनपालथान","","Morang","39,394","","70.26","561","Province No. 1"
"Kanepokhari","कानेपोखरी","","Morang","38,033","","82.83","459","Province No. 1"
"Gramthan","ग्रामथान","","Morang","32,717","","71.84","455","Province No. 1"
"Kerabari","केरावारी","","Morang","30,431","","219.83","138","Province No. 1"
"Miklajung","मिक्लाजुङ","","Morang","28,708","","158.98","181","Province No. 1"
"Manebhanjyang","मानेभञ्ज्याङ","","Okhaldhunga","21,082","","146.61","144","Province No. 1"
"Champadevi","चम्पादेवी","","Okhaldhunga","18,613","","126.91","147","Province No. 1"
"Sunkoshi","सुनकोशी","","Okhaldhunga","18,550","","143.75","129","Province No. 1"
"Molung","मोलुङ","","Okhaldhunga","15,862","","112","142","Province No. 1"
"Chisankhugadhi","चिसंखुगढी","","Okhaldhunga","15,196","","126.91","120","Province No. 1"
"Khiji Demba","खिजिदेम्बा","","Okhaldhunga","15,106","","179.77","84","Province No. 1"
"Likhu","लिखु","","Okhaldhunga","14,049","","88.03","160","Province No. 1"
"Miklajung","मिक्लाजुङ","","Panchthar","24,715","","166.61","148","Province No. 1"
"Phalgunanda","फाल्गुनन्द","","Panchthar","24,060","","107.53","224","Province No. 1"
"Hilihang","हिलिहाङ","","Panchthar","22,913","","123.01","186","Province No. 1"
"Phalelung","फालेलुङ","","Panchthar","21,884","","207.14","106","Province No. 1"
"Yangwarak","याङवरक","","Panchthar","18,281","","208.63","88","Province No. 1"
"Kummayak","कुम्मायक","","Panchthar","16,118","","129.3","125","Province No. 1"
"Tumbewa","तुम्बेवा","","Panchthar","13,419","","117.34","114","Province No. 1"
"Makalu","मकालु","","Sankhuwasabha","13,204","","519.45","25","Province No. 1"
"Silichong","सिलीचोङ","","Sankhuwasabha","12,174","","293.26","42","Province No. 1"
"Sabhapokhari","सभापोखरी","","Sankhuwasabha","10,492","","222.08","47","Province No. 1"
"Chichila","चिचिला","","Sankhuwasabha","7,065","","88.63","80","Province No. 1"
"Bhot Khola","भोटखोला","","Sankhuwasabha","6,576","","639.01","10","Province No. 1"
"Dudhakaushika","दुधकौशिका","","Solukhumbu","19,672","","144.6","136","Province No. 1"
"Necha Salyan","नेचासल्यान","","Solukhumbu","16,129","","94.49","171","Province No. 1"
"Dudhkoshi","दुधकोशी","","Solukhumbu","13,414","","167.67","80","Province No. 1"
"Maha Kulung","महाकुलुङ","","Solukhumbu","11,452","","648.05","18","Province No. 1"
"Sotang","सोताङ","","Solukhumbu","9,530","","103","93","Province No. 1"
